City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,ahipara,-35.17,173.17,60.01,100,67,5.23,NZ,1579969453
218,east london,-33.02,27.91,80.6,65,24,6.93,ZA,1579969453
219,victoria,22.29,114.16,64.99,93,100,8.86,HK,1579969200
220,sechura,-5.56,-80.82,73.67,85,100,5.75,PE,1579969454
221,pangnirtung,66.15,-65.71,-37.43,99,100,1.88,CA,1579969454
222,berezovyy,51.67,135.7,-14.35,82,66,6.46,RU,1579969454
223,mangalia,43.8,28.58,44.01,42,70,1.99,RO,1579969454
224,faanui,-16.48,-151.75,81.66,76,22,12.24,PF,1579969454
225,cape town,-33.93,18.42,70.0,82,75,14.99,ZA,1579969454
226,xingcheng,40.62,120.72,24.21,62,0,4.12,CN,1579969454
227,mersing,2.43,103.84,80.83,75,35,9.71,MY,1579969454
228,gorontalo,0.54,123.06,75.13,94,19,3.24,ID,1579969454
229,lashio,22.93,97.75,49.21,47,0,2.19,MM,1579969455
230,tosya,41.02,34.04,25.65,73,14,5.17,TR,1579969455
231,san martin,-33.08,-68.47,89.6,24,0,11.41,AR,1579969455
232,pisco,-13.7,-76.22,79.0,75,100,8.99,PE,1579969455
233,pitimbu,-7.47,-34.81,90.21,53,82,11.25,BR,1579969455
234,flinders,-34.58,150.86,77.0,22,100,5.01,AU,1579969456
235,muravlenko,63.79,74.52,0.79,95,87,10.0,RU,1579969456
236,clyde river,70.47,-68.59,-27.4,74,75,4.7,CA,1579969456
237,najran,17.49,44.13,62.53,51,85,11.92,SA,1579969456
238,trenggalek,-8.05,111.72,75.2,89,34,3.22,ID,1579969456
239,coquimbo,-29.95,-71.34,64.02,91,0,7.81,CL,1579969456
240,namibe,-15.2,12.15,75.49,77,2,13.47,AO,1579969417
241,port elizabeth,-33.92,25.57,77.0,65,5,14.99,ZA,1579969456
242,lasa,46.62,10.7,42.8,45,73,4.7,IT,1579969433
243,torres,-29.34,-49.73,71.02,71,0,1.66,BR,1579969456
244,ormara,25.21,64.64,72.64,73,36,14.94,PK,1579969456
245,tamandare,-8.76,-35.1,81.39,80,81,9.95,BR,1579969457
246,kaeo,-35.1,173.78,62.01,100,1,7.96,NZ,1579969457
247,lavrentiya,65.58,-171.0,-15.79,78,0,2.91,RU,1579969457
248,labuhan,-6.88,112.21,77.95,85,67,2.62,ID,1579969457
249,sinnamary,5.38,-52.95,79.72,83,94,16.08,GF,1579969338
250,bambous virieux,-20.34,57.76,78.01,88,75,18.34,MU,1579969463
251,deniliquin,-35.53,144.97,64.99,65,0,3.69,AU,1579969463
252,pochutla,15.74,-96.47,84.99,61,0,5.97,MX,1579969463
253,kota belud,6.35,116.43,82.0,88,7,6.82,MY,1579969463
254,altamira,-3.2,-52.21,90.23,55,99,4.27,BR,1579969460
255,gat,31.61,34.76,53.01,73,56,1.01,IL,1579969225
256,sarti,40.1,23.98,51.35,73,0,6.73,GR,1579969464
257,sangar,63.92,127.47,-41.33,91,0,4.09,RU,1579969464
